"year_id","year","id","numero_bague","Notes","numero_capture","paire","trt","RECAP.BYLOT","Deploy On Timestamp","Deploy Off Timestamp","depart_date","julian_departure"
"2021CM","2021","CM","2177-57372","collier command<e9> en 2020 mais jamais pos<e9>",1,2,"cort",NA,2021-04-29 14:55:00,NA,2021-05-15 16:32:34,135
"2021CY","2021","CY","2177-57673",NA,5,8,"placebo",NA,2021-05-03 20:12:00,NA,2021-05-20 15:23:38,140
"2021EM","2021","EM","2177-57365",NA,1,1,"placebo",NA,2021-04-29 14:55:00,NA,2021-05-21 10:40:08,141
"2021EY","2021","EY","2177-57888",NA,9,20,"placebo",NA,2021-05-09 14:00:00,NA,2021-05-20 14:43:35,140
"2021HC","2021","HC","2177-57914",NA,7,17,"placebo",NA,2021-05-07 05:47:00,NA,2021-05-20 15:01:19,140
"2021HE","2021","HE","2177-57266","collier r<e9>cup<e9>r<e9>, ancien code HU",1,1,"cort",NA,2021-04-29 14:55:00,2021-10-31,2021-05-15 11:01:05,135
"2021HJ","2021","HJ","2177-57715","emataume_ID <e0> retirer",5,9,"cort",NA,2021-05-04 12:00:00,NA,2021-05-17 20:57:24,137
"2021HM","2021","HM","2197-04451",NA,11,26,"placebo",NA,2021-05-12 05:35:00,NA,2021-05-19 11:28:42,139
"2021HT","2021","HT","2177-57635",NA,5,9,"placebo",NA,2021-05-03 20:12:00,NA,2021-05-15 10:10:36,135
"2021JE","2021","JE","2177-57394","collier r<e9>cup<e9>r<e9>, ancien code EX",2,3,"cort",NA,2021-04-30 14:24:00,NA,2021-05-17 09:09:45,137
"2021JH","2021","JH","2177-57764",NA,5,10,"placebo",NA,2021-05-03 20:12:00,NA,NA,NA
"2021JM","2021","JM","2177-57899",NA,9,19,"cort",NA,2021-05-09 14:00:00,NA,2021-05-17 17:11:07,137
"2021JT","2021","JT","2177-57762",NA,5,8,"cort",NA,2021-05-03 20:12:00,NA,2021-05-17 14:31:04,137
"2021KC","2021","KC","2177-57700",NA,6,12,"placebo",NA,2021-05-05 19:45:00,NA,2021-05-17 17:08:54,137
"2021KE","2021","KE","2177-57369",NA,1,2,"placebo",NA,2021-04-29 14:55:00,NA,2021-05-15 09:30:19,135
"2021KH","2021","KH","2197-04349",NA,10,23,"placebo",NA,2021-05-11 05:20:00,NA,2021-05-20 20:21:52,140
"2021KU","2021","KU","2177-57716",NA,5,10,"cort",NA,2021-05-03 20:12:00,NA,2021-05-15 14:39:17,135
"2021KY","2021","KY","2177-57698",NA,6,14,"placebo",NA,2021-05-05 19:45:00,NA,2021-05-15 10:11:07,135
"2021MA","2021","MA","2177-57501",NA,2,4,"placebo",NA,2021-04-30 14:24:00,NA,2021-05-20 19:04:12,140
"2021MH","2021","MH","2177-57939",NA,7,16,"cort",NA,2021-05-07 05:47:00,NA,2021-05-20 14:29:21,140
"2021MJ","2021","MJ","2197-04407",NA,9,22,"cort",NA,2021-05-09 14:00:00,NA,NA,NA
"2021MP","2021","MP","2177-57752",NA,5,11,"cort",NA,2021-05-03 20:12:00,NA,NA,NA
"2021MT","2021","MT","2177-57785",NA,6,13,"cort",NA,2021-05-05 19:45:00,NA,2021-05-17 16:39:04,137
"2021PA","2021","PA","2177-57667",NA,5,11,"placebo",NA,2021-05-03 20:12:00,NA,2021-05-19 15:38:35,139
"2021PE","2021","PE","2177-57458","collier r<e9>cup<e9>r<e9>, ancien code UU",3,5,"cort",NA,2021-05-02 14:00:00,NA,2021-05-15 11:50:23,135
"2021PH","2021","PH","2197-04403",NA,9,22,"placebo",NA,2021-05-09 14:00:00,NA,NA,NA
"2021PJ","2021","PJ","2197-04340",NA,9,21,"placebo",NA,2021-05-09 14:00:00,NA,2021-05-19 12:04:39,139
"2021PM","2021","PM","2197-04469",NA,11,26,"cort",NA,2021-05-12 05:35:00,NA,NA,NA
"2021PY","2021","PY","2197-04371",NA,11,25,"cort",NA,2021-05-12 05:35:00,NA,2021-05-21 11:40:07,141
"2021RA","2021","RA","2177-57796",NA,6,12,"cort",NA,2021-05-05 19:45:00,NA,2021-05-20 19:12:42,140
"2021RJ","2021","RJ","2177-57565",NA,3,5,"placebo",NA,2021-05-02 14:00:00,NA,2021-05-17 13:23:19,137
"2021RM","2021","RM","2197-04382",NA,11,24,"cort",NA,2021-05-12 05:35:00,NA,2021-05-17 16:41:33,137
"2021RT","2021","RT","2177-57845",NA,7,15,"cort",NA,2021-05-07 05:47:00,NA,2021-05-15 15:50:00,135
"2021RU","2021","RU","2177-57015",NA,9,20,"cort",NA,2021-05-09 14:00:00,NA,2021-05-17 21:58:36,137
"2021TE","2021","TE","2197-04360",NA,10,23,"cort",NA,2021-05-11 05:20:00,NA,2021-05-21 05:02:00,141
"2021TH","2021","TH","2197-04522",NA,11,24,"placebo",NA,2021-05-12 05:35:00,NA,2021-05-17 23:06:16,137
"2021TR","2021","TR","2177-57957",NA,8,18,"cort",NA,2021-05-08 13:42:00,NA,2021-05-18 01:14:47,138
"2021TY","2021","TY","2177-57859",NA,7,16,"placebo",NA,2021-05-07 05:47:00,NA,2021-05-17 11:21:39,137
"2021UA","2021","UA","2177-57936",NA,7,17,"cort",NA,2021-05-07 05:47:00,NA,2021-05-17 10:25:37,137
"2021UK","2021","UK","2177-57599",NA,4,7,"placebo",NA,2021-05-03 05:19:00,NA,2021-05-17 17:14:01,137
"2021UP","2021","UP","2177-57463","collier r<e9>cup<e9>r<e9>, ancien code TA",3,6,"cort",NA,2021-05-02 14:00:00,NA,2021-05-20 15:56:53,140
"2021UT","2021","UT","2177-57799",NA,6,14,"cort",NA,2021-05-05 19:45:00,NA,2021-05-15 14:38:31,135
"2021XC","2021","XC","2177-57575",NA,3,6,"placebo",NA,2021-05-02 14:00:00,NA,2021-05-19 11:19:55,139
"2021XH","2021","XH","2197-04333",NA,9,19,"placebo",NA,2021-05-09 14:00:00,NA,2021-05-14 22:21:40,134
"2021XJ","2021","XJ","2177-57952",NA,8,18,"placebo","RECAP BYLOT",2021-05-08 13:42:00,NA,2021-05-20 19:29:03,140
"2021XM","2021","XM","2177-57595",NA,4,7,"cort",NA,2021-05-03 05:19:00,NA,2021-05-15 14:17:46,135
"2021XT","2021","XT","2197-04450",NA,11,25,"placebo",NA,2021-05-12 05:35:00,NA,NA,NA
"2021XU","2021","XU","2197-04405",NA,9,21,"cort",NA,2021-05-09 14:00:00,NA,2021-05-15 10:24:49,135
"2021YC","2021","YC","2177-57439","collier command<e9> en 2020 mais jamais pos<e9>",2,4,"cort",NA,2021-04-30 14:24:00,NA,2021-05-17 13:00:51,137
"2021YJ","2021","YJ","2177-57532",NA,2,3,"placebo",NA,2021-04-30 14:24:00,NA,2021-05-20 14:19:40,140
"2021YM","2021","YM","2177-57790",NA,6,13,"placebo",NA,2021-05-05 19:45:00,NA,2021-05-19 11:47:27,139
"2021YP","2021","YP","2177-57916",NA,7,15,"placebo",NA,2021-05-07 05:47:00,NA,2021-05-17 16:47:43,137
